,round,start_seconds,end_seconds,round_duration,ct_eq_val,t_eq_val,is_bomb_planted,bomb_site,past_halftime,de_overpass,de_cache,de_mirage,de_inferno,de_train,de_dust2,de_cbble,de_nuke,PISTOL_ROUND,ECO,SEMI_ECO,NORMAL,FORCE_BUY,t_lethal_nades_eff,ct_lethal_nades_eff,t_util_nades_eff,ct_util_nades_eff,winner_side_class,terrorist_win,counterterrorist_win
0,1,94.30782,160.9591,66.65128000000001,4300,4250,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0
1,2,160.9591,279.3998,118.44070000000002,6300,19400,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,2,-1,1,0
2,3,279.3998,341.0084,61.608599999999974,7650,19250,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-1,1,0
3,4,341.0084,435.4259,94.41750000000002,24900,23400,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,10,8,1,-1,1,0
4,5,435.4259,484.2398,48.81389999999999,5400,20550,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0
5,6,484.2398,604.5598,120.32,29650,25450,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,9,4,-1,0,1
6,7,604.5598,684.2563,79.69650000000001,3200,25300,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6,2,-1,1,0
7,8,684.2563,763.8902,79.63390000000005,4850,27600,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,1,1,1,0
8,9,763.8902,844.3071,80.41689999999993,32150,18200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,9,1,0,1
9,10,844.3071,937.0176,92.71050000000002,32950,9950,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34,4,4,1,0,1
10,11,937.0176,1031.012,93.99439999999993,30100,10350,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,4,1,0,1
11,12,1031.012,1089.536,58.524000000000115,30150,22800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,2,1,0,1
12,13,1089.536,1171.988,82.45200000000001,31750,19900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,6,1,0,1
13,14,1171.988,1238.029,66.04099999999994,32750,14050,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,-1,0,1
14,15,1238.029,1299.653,61.62400000000002,22000,27450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,6,1,1,0
15,17,1379.35,1513.4820000000002,134.13200000000032,20450,5000,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,4,1,0,1
16,18,1513.4820000000002,1566.3370000000002,52.85500000000002,21550,1500,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,0,1
17,19,1566.3370000000002,1670.479,104.14199999999985,24650,24000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,5,1,0,1
18,20,1670.479,1786.007,115.52800000000002,31400,4450,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,7,1,0,1
19,21,1786.007,1844.938,58.93099999999981,31450,26300,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,7,1,0,1
20,22,1844.938,1999.946,155.0080000000003,30200,22050,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12,5,6,-1,0,1
21,23,1999.946,2100.158,100.21199999999978,18200,29300,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5,7,1,1,0
22,24,2100.158,2157.93,57.771999999999935,29100,16150,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,5,1,0,1
